File,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,class
Medial Tibia of OA_57.jpg,6.23E-01,1.44E-01,4.43E-01,1.71E+01,9.28E-01,8.28E+00,6.89E+01,7.04E-01,1.16E+00,1.23E-01,4.12E-01,-1.76E-01,4.48E-01,1.83E-01,OA
Medial Tibia of OA_58.jpg,2.86E-01,3.10E-01,3.85E-01,2.05E+01,8.45E-01,9.03E+00,8.23E+01,1.11E+00,1.91E+00,2.48E-01,6.19E-01,-1.09E-01,4.45E-01,3.08E-01,OA
Medial Tibia of OA_59.jpg,3.60E-01,2.68E-01,5.17E-01,2.35E+01,8.67E-01,9.67E+00,9.43E+01,1.22E+00,2.04E+00,2.17E-01,5.85E-01,-1.91E-01,5.92E-01,2.27E-01,OA
Medial Tibia of OA_6.jpg,3.18E-01,2.17E-01,6.34E-01,2.01E+01,8.92E-01,8.94E+00,8.09E+01,1.22E+00,1.97E+00,1.78E-01,5.23E-01,-2.98E-01,7.06E-01,3.72E-01,OA
Medial Tibia of OA_60.jpg,4.45E-01,1.64E-01,6.09E-01,2.81E+01,9.18E-01,1.06E+01,1.13E+02,9.25E-01,1.50E+00,1.38E-01,4.46E-01,-2.97E-01,6.38E-01,2.88E-01,OA
Medial Tibia of OA_61.jpg,6.69E-01,1.24E-01,4.58E-01,2.39E+01,9.38E-01,9.78E+00,9.61E+01,6.56E-01,1.07E+00,1.09E-01,3.75E-01,-1.97E-01,4.57E-01,1.65E-01,OA
Medial Tibia of OA_62.jpg,4.96E-01,1.63E-01,5.98E-01,2.33E+01,9.19E-01,9.64E+00,9.35E+01,9.64E-01,1.55E+00,1.38E-01,4.44E-01,-2.89E-01,6.39E-01,2.29E-01,OA
Medial Tibia of OA_63.jpg,3.84E-01,2.31E-01,5.07E-01,2.23E+01,8.85E-01,9.43E+00,8.96E+01,1.08E+00,1.78E+00,1.89E-01,5.40E-01,-1.97E-01,5.67E-01,2.73E-01,OA
Medial Tibia of OA_64.jpg,3.35E-01,2.08E-01,5.87E-01,2.03E+01,8.96E-01,8.99E+00,8.17E+01,1.07E+00,1.75E+00,1.71E-01,5.11E-01,-2.64E-01,6.42E-01,3.82E-01,OA
Medial Tibia of OA_65.jpg,6.17E-01,1.40E-01,5.29E-01,9.35E+00,9.30E-01,6.10E+00,3.76E+01,8.14E-01,1.31E+00,1.20E-01,4.04E-01,-2.50E-01,5.59E-01,1.51E-01,OA
Medial Tibia of OA_66.jpg,3.44E-01,2.32E-01,5.49E-01,2.15E+01,8.84E-01,9.25E+00,8.64E+01,1.13E+00,1.86E+00,1.90E-01,5.42E-01,-2.25E-01,6.13E-01,3.16E-01,OA
Medial Tibia of OA_67.jpg,3.26E-01,1.99E-01,6.67E-01,1.26E+01,9.01E-01,7.05E+00,5.07E+01,1.19E+00,1.92E+00,1.65E-01,4.99E-01,-3.33E-01,7.31E-01,3.83E-01,OA
Medial Tibia of OA_68.jpg,4.81E-01,1.27E-01,6.95E-01,2.23E+01,9.37E-01,9.43E+00,8.97E+01,9.00E-01,1.42E+00,1.11E-01,3.80E-01,-3.93E-01,7.08E-01,2.84E-01,OA
Medial Tibia of OA_7.jpg,7.95E-01,7.18E-02,4.93E-01,2.55E+01,9.64E-01,1.01E+01,1.03E+02,4.58E-01,7.33E-01,6.95E-02,2.58E-01,-2.51E-01,4.35E-01,1.26E-01,OA
Medial Tibia of OA_8.jpg,8.59E-01,5.64E-02,3.80E-01,2.47E+01,9.72E-01,9.97E+00,9.95E+01,3.50E-01,5.62E-01,5.80E-02,2.17E-01,-1.88E-01,3.31E-01,8.05E-02,OA
Medial Tibia of OA_9.jpg,3.00E-01,2.70E-01,6.82E-01,1.89E+01,8.66E-01,8.64E+00,7.60E+01,1.40E+00,2.30E+00,2.18E-01,5.85E-01,-2.88E-01,7.34E-01,2.71E-01,OA
